company_name	hw_job_url
（有）ヘルスサポート	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701008728661&kJKbn=1&fullPart=1
社会福祉法人　高洋会　特別養護老人ホーム　陽明園	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009527861&kJKbn=1&fullPart=1
サトウ株式会社	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009537161&kJKbn=1&fullPart=1
株式会社　聖浩	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014771961&kJKbn=1&fullPart=1
株式会社　琉新の風	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014946261&kJKbn=1&fullPart=1
医療法人　社団　かびら会　川平病院	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701009638161&kJKbn=1&fullPart=1
有限会社　ユイ・ライフ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701011694461&kJKbn=1&fullPart=1
有限会社　福伸建設通所介護センター登川の里	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702005829461&kJKbn=1&fullPart=1
沖縄県社会福祉事業団　都屋の里	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009459361&kJKbn=1&fullPart=1
医療法人おもと会　デイサービスセンター上原	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702008524861&kJKbn=1&fullPart=1
（株）ベストビジネスコミュニケーション	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702005522861&kJKbn=1&fullPart=1
株式会社からだ工房　\n機脳訓練型デイサービス　ここてらす那覇壷川	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701014870061&kJKbn=1&fullPart=1
社会福祉法人　緑樹会	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702005683561&kJKbn=1&fullPart=1
株式会社　ＳＹＭケアサポート	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4702009410461&kJKbn=1&fullPart=1
有限会社　稲田	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4703002213661&kJKbn=1&fullPart=1
合同会社　ひとえ	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701010382861&kJKbn=1&fullPart=1
（社福）転生会\n　特別養護老人ホーム　転生園	https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=4701008967161&kJKbn=1&fullPart=1
